ID:,ACT-WP1-01
Name:,Data collection infrastructure deployment and configuration
MAPE phase:,Other-Deployment
Responsible:,Marc and Norbert
Description:,Deployment of FAME monitoring and feedback gathering components.
Context:,A software company wants to deploy FAME in order to gather monitoring and feedback data for one or more of their software products.
Roles involved:,<Project Development Team<ROL-WP4-04>>
Input artifacts (situation):,<Feedback gathering reconfiguration instruction<ART-WP4-05>>; <Monitoring reconfiguration instruction <ART-WP4-07>>
Output artifacts:,<FAME <TOO-WP1-01>>
Intention:,Obtain monitoring and feedback data
Tools:,none
Related activities:,
Configuration instructions:,"The implementation is in the form of a library and a set of web services, the Project Development Team just needs to: 
1) integrate the feedback library into the Host Application, to do so, the developer inserts a few lines of code into the application code to invoke the functionalities of user feedback acquisition. As an example for a web application, the piece of code includes a few links to stylesheets and scripts, as well as a hyperlink to the feedback button. 
2) deploy the web services into a server (e.g. Tomcat).
3) For some monitoring Tools, the Project Development Team should also complete the following integration activities: the user events monitoring tool requires the integration of JavaScript code in the Host Application. The infrastructure monitoring tool requires credentials to access the server to monitor through SSH."
,
ID:,ACT-WP1-01a
Name:,Feedback gathering manual configuration
MAPE phase:,Other-Deployment
Responsible:,Norbert and Marc
Description:,The FAME feedback gathering components are configured in a way that they fulfill the needs of the software company and the end-users.
Roles involved:,<Project Development Team<ROL-WP4-04>>
Context:,The software company wants to tailor FAME to their needs.
Input artifacts:,<Feedback gathering reconfiguration instruction<ART-WP4-05>>
Output artifacts:,none (FAME is configured)
Intention:,Obtain feedback data
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Specializes: <Data collection infrastructure deployment<ACT-WP1-01>>
Configuration instructions:,Configure the feedback dialogue and decide on the trigger mechanisms.
Configuration instructions:,"(inherits the configuration instructions from ACT-WP1-01) + Once the deployed, the Project Development Team needs to configure the Feedback Gathering Tool as specified in https://supersedeorchestratorapi.docs.apiary.io/"
,
ID:,ACT-WP1-01b
Name:,Monitoring tool manual configuration
MAPE phase:,Other-Deployment
Responsible:,Norbert and Marc
Description:,The FAME monitoring components are configured in a way that they fulfill the needs of the software company and the end-users.
Roles involved:,<Project Development Team<ROL-WP4-04>>
Context:,The software company wants to tailor FAME to their needs.
Input artifacts (situation):,<Monitoring reconfiguration instruction<ART-WP4-07>>
Output artifacts:,none (<FAME<TOO-WP1-01>> is configured)
Intention:,Obtain monitoring data.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Specializes: <Data collection infrastructure deployment<ACT-WP1-01>>
Configuration instructions:,"(inherits the configuration instructions from ACT-WP1-01) + Once the deployed, the Project Development Team needs to configure the Monitors as specified in https://supersedeorchestratorapi.docs.apiary.io/"
,
ID:,ACT-WP1-02
Name:,Feedback collection
MAPE phase:,Monitor
Responsible:,Norbert and Marc
Description:,"An end-user enters feedback via a feedback component. The end-user can use the input mechanisms provided by the feedback components (e.g., text, screenshot, audio) to describe her feedback. "
Roles involved:,<End-user<ROL-WP1-01>>
Context:,An end-user want to communicate her experience about the software application to the software development company.
Input artifacts:,"none - human input (e.g., text, screenshots, audio)"
Output artifacts:,<Feedback document<ART-WP1-02>>
Intention:,Obtain feedback data.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Requires: <Feedback gathering manual configuration<ACT-WP1-01a>>
,
ID:,ACT-WP1-03
Name:,Monitoring data collection
MAPE phase:,Monitor
Responsible:,Marc and Norbert
Description:,An end-user or system generates runtime events which are collected by different monitors which generate monitoring data.
Context:,"- The company provides a service or a web platform where it is required to ensure the Quality of Service.
- The company provides a service or a web platform and is interested to know how the users interact with the system."
Roles involved:,<End-user<ROL-WP1-01>> (in most cases for gathering end-user related info)
Input artifacts (situation):,none - runtime events
Output artifacts:,<Monitoring data<ART-WP1-01>>
Intention:,Obtain runtime system data.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Requires: <Monitoring tool manual configuration<ACT-WP1-01b>>
,
ID:,ACT-WP1-03a
Name:,QoS monitoring
MAPE phase:,Monitor
Responsible:,Marc and Norbert
Description:,A system generates QoS information which is collected by different monitors which generate monitoring data.
Context:,The company provides a service or a web platform where it is required to ensure the Quality of Service.
Roles involved:,none
Input artifacts (situation):,none - QoS related events
Output artifacts:,Monitoring data
Intention:,Obtain system QoS.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Specializes: <Monitoring Data Collection<ACT-WP1-03>>
,
ID:,ACT-WP1-03b
Name:,Social network monitoring
MAPE phase:,Monitor
Responsible:,Marc and Norbert
Description:,"End-users communicate feedback through Social Networks (e.g. twitter), which is collected by the Social network monitor."
Context:,The end-user has a twitter account and wants to communicate her experience with the software to a broader audience using Social-Networks.
Roles involved:,<End-users<ROL-WP1-01>> (with twitter account)
Input artifacts (situation):,none - human input (the tweet)
Output artifacts:,Monitoring data (Social Network data (i.e. the tweet + metadata))
Intention:,Obtain the opinion and feedback from end-users in Social Networks.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Specializes: <Monitoring Data Collection<ACT-WP1-03>>
,
ID:,ACT-WP1-03c
Name:,Usage monitoring
MAPE phase:,Monitor
Responsible:,Marc and Norbert
Description:,A system monitors user behaviour. i.e. the actions between the user and the software system.
Context:,The end-user allows that her actions are being monitored in order to improve the quality of the software (privacy issues).
Roles involved:,<End-user<ROL-WP1-01>>
Input artifacts (situation):,none - any interaction that the end-user has with the software system.
Output artifacts:,Monitoring data (i.e. the event + metadata)
Intention:,Understand how the end-users interact with the software.
Tools:,<FAME<TOO-WP1-01>>
Related activities:,Specializes: <Monitoring Data Collection<ACT-WP1-03>>
,
ID:,ACT-WP2-01
Name:,Big Data management infrastructure deployment
MAPE phase:,Analyse
Responsible:,Sergi & Alberto
